epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.374098,1.56771,3.69634,3.37175,0.00333,1,0.16583,0.05409,1.75606,3.66066,4.33321,0,0,0
2,0.665379,3.50968,4.45393,3.76267,0.00333,1,0.14214,0.04561,1.77591,3.62766,4.32532,1.802e-05,1.802e-05,1.802e-05
3,0.952742,2.53943,4.54045,4.05972,0.00333,1,0.24875,0.0883,1.66042,3.40541,4.00796,3.208e-05,3.208e-05,3.208e-05
4,1.24285,1.74408,3.69875,2.61596,0.00333,1,0.199,0.0995,1.46229,3.65556,3.44802,4.218e-05,4.218e-05,4.218e-05
5,1.52353,1.61062,3.3409,2.92218,0.00333,1,0.199,0.1393,1.43122,3.55512,3.04929,4.832e-05,4.832e-05,4.832e-05
6,1.81343,1.61364,3.51755,3.01175,0.00333,1,0.33167,0.17247,1.39151,3.64382,2.79867,5.05e-05,5.05e-05,5.05e-05
7,2.10304,1.88574,3.62375,2.46731,0.00333,1,0.4975,0.26865,1.34767,3.76258,2.69003,4.872e-05,4.872e-05,4.872e-05
8,2.7406,1.49177,3.61999,1.81273,0.00333,1,0.4975,0.2388,1.28151,3.79275,2.74584,4.298e-05,4.298e-05,4.298e-05
9,3.05993,1.36515,3.1222,2.14772,0.00333,1,0.4975,0.2388,1.27865,3.71108,2.71351,3.328e-05,3.328e-05,3.328e-05
10,3.36113,1.29062,3.18516,1.71019,0.00333,1,0.4975,0.24875,1.28303,3.67519,2.66657,1.962e-05,1.962e-05,1.962e-05
